doctor_id,doctor_name,specialty,territory_id,assigned_rep_id,years_in_practice,patient_volume_monthly,baseline_rx_potential,loyalty_to_competitor,is_untapped_target,defection_month
D0348,Dr. Jennifer Smith,Internal Medicine,T08,R045,1,187,30,False,False,2024-05
D0349,Dr. Patricia Singh,Internal Medicine,T09,R047,14,74,31,False,False,
D0350,Dr. Aditya Gupta,Diabetologist,T02,R012,19,85,19,False,False,
D0351,Dr. Ananya Singh,General Physician,T05,R025,10,96,20,True,False,
D0352,Dr. Rohan Nair,Diabetologist,T09,R046,18,97,28,False,False,
D0353,Dr. Priya Singh,Endocrinologist,T03,R018,21,99,13,False,False,
D0354,Dr. Karan Reddy,General Physician,T04,R021,10,53,39,True,True,
D0355,Dr. Priya Kapoor,Endocrinologist,T09,R046,18,88,52,False,True,
D0356,Dr. John Chen,General Physician,T08,R041,11,41,16,False,False,
D0357,Dr. Karan Singh,Internal Medicine,T03,R018,14,78,32,False,False,
D0358,Dr. Patricia Gupta,Diabetologist,T01,R004,18,82,40,False,True,
D0359,Dr. Mary Khan,General Physician,T05,R028,25,104,21,True,False,
D0360,Dr. Ananya Reddy,Endocrinologist,T09,R047,3,64,19,False,False,2024-07
D0361,Dr. Divya Reddy,Diabetologist,T06,R035,28,95,14,False,False,
D0362,Dr. Jennifer Reddy,Diabetologist,T02,R010,26,73,34,False,False,
D0363,Dr. Rohan Sharma,Endocrinologist,T05,R028,23,88,26,True,False,
D0364,Dr. Imran Nair,Internal Medicine,T05,R026,7,61,32,False,False,
D0365,Dr. Nikhil Rao,General Physician,T07,R036,12,121,19,False,False,2024-09
D0366,Dr. Rohan Menon,Diabetologist,T07,R036,26,119,27,True,False,
D0367,Dr. Ravi Gupta,Diabetologist,T03,R016,32,48,40,False,False,
D0368,Dr. Patricia Patel,Internal Medicine,T06,R034,34,78,27,True,False,
D0369,Dr. Mary Iyer,General Physician,T05,R026,4,75,36,False,True,
D0370,Dr. Ravi Rao,General Physician,T02,R005,24,41,43,True,False,
D0371,Dr. Rohan Kapoor,Endocrinologist,T05,R026,28,53,29,False,False,
D0372,Dr. Anjali Verma,General Physician,T02,R010,26,77,34,True,False,
D0373,Dr. Priya Singh,General Physician,T02,R012,15,54,40,False,True,
D0374,Dr. Sara Kim,General Physician,T03,R014,25,90,39,False,False,
D0375,Dr. Ravi Rao,Diabetologist,T10,R050,14,110,45,False,False,2024-10
D0376,Dr. Rohan Rao,General Physician,T01,R002,5,67,28,True,False,
D0377,Dr. Mary Iyer,Diabetologist,T09,R047,29,106,25,False,False,
D0378,Dr. Jennifer Reddy,Diabetologist,T03,R020,5,138,61,True,False,
D0379,Dr. Karan Kapoor,General Physician,T10,R050,23,68,29,False,False,
D0380,Dr. Mary Kapoor,General Physician,T02,R009,13,129,34,False,False,
D0381,Dr. Mary Patel,Diabetologist,T07,R036,34,130,57,False,True,
D0382,Dr. Rohan Kapoor,Diabetologist,T05,R024,13,138,10,False,False,
D0383,Dr. Jennifer Singh,Diabetologist,T03,R016,30,87,23,True,False,
D0384,Dr. Vikram Patel,General Physician,T04,R022,11,95,10,False,False,
D0385,Dr. Ravi Patel,General Physician,T05,R024,4,64,43,False,True,
D0386,Dr. Ananya Patel,Diabetologist,T06,R033,14,118,67,False,True,
D0387,Dr. Pooja Reddy,Endocrinologist,T08,R041,18,113,25,False,False,2024-06
D0388,Dr. Divya Khan,Endocrinologist,T03,R013,34,99,34,False,False,
D0389,Dr. Jennifer Smith,Diabetologist,T04,R022,27,87,36,True,False,
D0390,Dr. James Patel,Endocrinologist,T01,R002,15,68,12,False,False,
D0391,Dr. Rohan Patel,Diabetologist,T03,R018,3,38,23,False,False,
D0392,Dr. Pooja Kapoor,Diabetologist,T04,R021,13,71,31,False,False,
D0393,Dr. Divya Smith,Internal Medicine,T09,R048,19,46,15,False,False,
D0394,Dr. Patricia Kapoor,Diabetologist,T08,R042,16,83,22,True,False,
D0395,Dr. Patricia Patel,Diabetologist,T08,R044,34,64,43,False,True,
D0396,Dr. James Reddy,General Physician,T03,R016,10,191,33,False,False,
D0397,Dr. Anjali Rao,Endocrinologist,T03,R020,9,70,17,False,False,
D0398,Dr. Neha Patel,Diabetologist,T05,R026,10,62,18,False,False,
D0399,Dr. Kavya Kim,Internal Medicine,T05,R028,4,162,33,True,False,
D0400,Dr. Patricia Nair,Diabetologist,T08,R041,5,48,15,False,False,
